[28/Sep/2025:03:02:38 +0000] - 200 200 - GET http saf.falchi.com.br "/MoedasValores/export-csv?moeda_id=&ordem=desc&base_variacao=anterior" [Client 172.18.0.1] [Length 24777] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:03:11 +0000] - - 499 - POST http saf.falchi.com.br "/Moedas/consultar-valor" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:03:13 +0000] - - 499 - POST http saf.falchi.com.br "/Moedas/consultar-valor" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:03:18 +0000] - - 499 - POST http saf.falchi.com.br "/Moedas/consultar-valor" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:03:25 +0000] - 200 200 - POST http saf.falchi.com.br "/Moedas/consultar-valor" [Client 172.18.0.1] [Length 8779] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:03:25 +0000] - 200 200 - GET http saf.falchi.com.br "/api/market/status" [Client 172.18.0.1] [Length 239] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/Moedas/consultar-valor"
[28/Sep/2025:03:03:35 +0000] - 302 302 - POST http saf.falchi.com.br "/Moedas/consultar-salvar" [Client 172.18.0.1] [Length 410] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/Moedas/consultar-valor"
[28/Sep/2025:03:03:35 +0000] - 200 200 - GET http saf.falchi.com.br "/MoedasValores" [Client 172.18.0.1] [Length 13407] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/Moedas/consultar-valor"
[28/Sep/2025:03:03:36 +0000] - 200 200 - GET http saf.falchi.com.br "/api/market/status" [Client 172.18.0.1] [Length 239] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:04:04 +0000] - 200 200 - POST http saf.falchi.com.br "/Moedas/consultar-valor" [Client 172.18.0.1] [Length 8775] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
